1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   35  34.50000   0.38514   0.00000   0.10728   0.00000   0.03402   0.01247
   36  35.50000   0.66469   1.00000   0.27782   0.29440   0.04366   0.02761
   37  36.50000   0.86662   1.00000   0.45714   0.52391   0.04628   0.05645
   38  37.50000   0.96927   1.00000   0.61249   0.66000   0.04736   0.10662
   39  38.50000   0.99865   1.00000   0.73846   0.75899   0.12094   0.18597
   40  39.50000   1.00000   1.00000   0.83902   0.83446   0.29393   0.29959
   41  40.50000   1.00000   1.00000   0.91416   0.89245   0.51576   0.44576
   42  41.50000   1.00000   1.00000   0.95985   0.93625   0.71268   0.61258
   43  42.50000   1.00000   1.00000   0.97699   0.96779   0.83474   0.77752
   44  43.50000   1.00000   1.00000   0.97823   0.98826   0.87871   0.91146
   45  44.50000   1.00000   1.00000   0.97823   0.99834   0.88190   0.98686
   46  45.50000   1.00000   1.00000   0.97823   0.99834   0.88190   0.98686
   47  46.50000   1.00000   1.00000   0.96417   0.98826   0.88190   0.91146
   48  47.50000   1.00000   1.00000   0.94877   0.96779   0.82538   0.77752
   49  48.50000   1.00000   1.00000   0.94337   0.93625   0.66449   0.61258
   50  49.50000   1.00000   1.00000   0.94270   0.89245   0.47892   0.44576

 Conserved sums  19.99999  20.00000  15.70968  15.70969   8.86227   8.86227
 Absolute error   0.10015             0.06021             0.09646
1
    LCPFCT Test #1 - Constant V Convection:   step = 500 and TIME =100.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
    2   1.50000   0.00000   0.00000   0.00000   0.00000   0.00004   0.00000
    3   2.50000   0.00000   0.00000   0.00000   0.00000   0.00011   0.00001
    4   3.50000   0.00000   0.00000   0.00000   0.00000   0.00014   0.00002
    5   4.50000   0.00005   0.00000   0.00000   0.00000   0.00014   0.00007
    6   5.50000   0.00018   0.00000   0.00001   0.00000   0.00014   0.00023
    7   6.50000   0.00065   0.00000   0.00001   0.00000   0.00019   0.00071
    8   7.50000   0.00289   0.00000   0.00004   0.00000   0.00543   0.00200
    9   8.50000   0.13042   0.00000   0.01387   0.00000   0.01946   0.00520
