1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   84   8.35000   1.00000   1.00000   0.90281   0.90281   0.47733   0.47734
   85   8.45000   1.00000   1.00000   0.91206   0.91206   0.51050   0.51051
   86   8.55000   1.00000   1.00000   0.92079   0.92079   0.54423   0.54424
   87   8.65000   1.00000   1.00000   0.92901   0.92901   0.57834   0.57834
   88   8.75000   1.00000   1.00000   0.93673   0.93673   0.61262   0.61262
   89   8.85000   1.00000   1.00000   0.94396   0.94396   0.64687   0.64687
   90   8.95000   1.00000   1.00000   0.95072   0.95072   0.68083   0.68084
   91   9.05000   1.00000   1.00000   0.95701   0.95701   0.71430   0.71431
   92   9.15000   1.00000   1.00000   0.96285   0.96284   0.74705   0.74703
   93   9.25000   1.00000   1.00000   0.96822   0.96823   0.77866   0.77875
   94   9.35000   1.00000   1.00000   0.97320   0.97317   0.80941   0.80923
   95   9.45000   1.00000   1.00000   0.97765   0.97768   0.83793   0.83821
   96   9.55000   1.00000   1.00000   0.98180   0.98177   0.86572   0.86546
   97   9.65000   1.00000   1.00000   0.98543   0.98543   0.89076   0.89074
   98   9.75000   1.00000   1.00000   0.98861   0.98867   0.91336   0.91383
   99   9.85000   1.00000   1.00000   0.99157   0.99150   0.93508   0.93453
  100   9.95000   1.00000   1.00000   0.99394   0.99391   0.95287   0.95264

 Conserved sums  10.00000  10.00000   7.85406   7.85406   4.41041   4.41041
 Absolute error   0.00000             0.05251             0.00588
1
    LCPFCT Test #1 - Constant V Convection:   step = 100 and TIME =  2.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.05000   1.00000   1.00000   0.98171   0.98177   0.86500   0.86546
    2   0.15000   1.00000   1.00000   0.98537   0.98543   0.89030   0.89074
    3   0.25000   1.00000   1.00000   0.98877   0.98867   0.91460   0.91383
    4   0.35000   1.00000   1.00000   0.99156   0.99150   0.93504   0.93453
    5   0.45000   1.00000   1.00000   0.99378   0.99391   0.95155   0.95264
    6   0.55000   1.00000   1.00000   0.99581   0.99593   0.96704   0.96800
    7   0.65000   1.00000   1.00000   0.99770   0.99753   0.98181   0.98047
    8   0.75000   1.00000   1.00000   0.99905   0.99873   0.99241   0.98992
    9   0.85000   1.00000   1.00000   0.99957   0.99953   0.99655   0.99628
   10   0.95000   1.00000   1.00000   0.99960   0.99993   0.99676   0.99947
   11   1.05000   1.00000   1.00000   0.99960   0.99993   0.99676   0.99947
   12   1.15000   1.00000   1.00000   0.99960   0.99953   0.99676   0.99628
   13   1.25000   1.00000   1.00000   0.99891   0.99873   0.99133   0.98992
   14   1.35000   1.00000   1.00000   0.99762   0.99753   0.98114   0.98047
   15   1.45000   1.00000   1.00000   0.99594   0.99593   0.96813   0.96800
   16   1.55000   1.00000   1.00000   0.99392   0.99391   0.95262   0.95264
   17   1.65000   1.00000   1.00000   0.99150   0.99150   0.93452   0.93453
   18   1.75000   1.00000   1.00000   0.98867   0.98867   0.91384   0.91383
   19   1.85000   1.00000   1.00000   0.98543   0.98543   0.89075   0.89074
   20   1.95000   1.00000   1.00000   0.98177   0.98177   0.86547   0.86546
   21   2.05000   1.00000   1.00000   0.97769   0.97768   0.83822   0.83821
   22   2.15000   1.00000   1.00000   0.97318   0.97317   0.80924   0.80923
   23   2.25000   1.00000   1.00000   0.96823   0.96823   0.77876   0.77875
   24   2.35000   1.00000   1.00000   0.96284   0.96284   0.74704   0.74703
   25   2.45000   1.00000   1.00000   0.95701   0.95701   0.71432   0.71431
   26   2.55000   1.00000   1.00000   0.95072   0.95072   0.68085   0.68084
   27   2.65000   1.00000   1.00000   0.94397   0.94396   0.64687   0.64687
   28   2.75000   1.00000   1.00000   0.93672   0.93673   0.61263   0.61262
   29   2.85000   1.00000   1.00000   0.92905   0.92901   0.57835   0.57834
   30   2.95000   1.00000   1.00000   0.92071   0.92079   0.54424   0.54424
   31   3.05000   1.00000   1.00000   0.91224   0.91206   0.51051   0.51050
   32   3.15000   1.00000   1.00000   0.90245   0.90281   0.47733   0.47733
   33   3.25000   1.00000   1.00000   0.89368   0.89301   0.44491   0.44489
   34   3.35000   1.00000   1.00000   0.88148   0.88264   0.41331   0.41333
   35   3.45000   1.00000   1.00000   0.87351   0.87170   0.38283   0.38279
   36   3.55000   1.00000   1.00000   0.85766   0.86015   0.35330   0.35336
